match_id,match_date,stage,matchday,group,home_team_code,home_team,away_team_code,away_team,home_goals,away_goals,winner,result_type,total_goals,home_points,away_points,fifa_venue_name,common_stadium_name,city,host_country,source_url,dataset_cutoff,scoreline,winning_margin,is_draw
WC2026-020,2026-06-16,Group Stage,1,J,AUT,Austria,JOR,Jordan,3,1,Austria,home_win,4,3,0,San Francisco Bay Area Stadium,Levi's Stadium,Santa Clara,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Austria 3-1 Jordan,2,False
WC2026-021,2026-06-17,Group Stage,1,K,POR,Portugal,COD,DR Congo,1,1,Draw,draw,2,1,1,Houston Stadium,NRG Stadium,Houston,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Portugal 1-1 DR Congo,0,True
WC2026-022,2026-06-17,Group Stage,1,L,ENG,England,CRO,Croatia,4,2,England,home_win,6,3,0,Dallas Stadium,AT&T Stadium,Arlington,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",England 4-2 Croatia,2,False
WC2026-023,2026-06-17,Group Stage,1,L,GHA,Ghana,PAN,Panama,1,0,Ghana,home_win,1,3,0,Toronto Stadium,BMO Field,Toronto,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Ghana 1-0 Panama,1,False
WC2026-024,2026-06-17,Group Stage,1,K,UZB,Uzbekistan,COL,Colombia,1,3,Colombia,away_win,4,0,3,Mexico City Stadium,Estadio Azteca,Mexico City,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Uzbekistan 1-3 Colombia,2,False
WC2026-025,2026-06-18,Group Stage,2,A,CZE,Czechia,RSA,South Africa,1,1,Draw,draw,2,1,1,Atlanta Stadium,Mercedes-Benz Stadium,Atlanta,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Czechia 1-1 South Africa,0,True
WC2026-026,2026-06-18,Group Stage,2,B,SUI,Switzerland,BIH,Bosnia and Herzegovina,4,1,Switzerland,home_win,5,3,0,Los Angeles Stadium,SoFi Stadium,Los Angeles,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Switzerland 4-1 Bosnia and Herzegovina,3,False
WC2026-027,2026-06-18,Group Stage,2,B,CAN,Canada,QAT,Qatar,6,0,Canada,home_win,6,3,0,BC Place Vancouver,BC Place,Vancouver,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Canada 6-0 Qatar,6,False
WC2026-028,2026-06-18,Group Stage,2,A,MEX,Mexico,KOR,Korea Republic,1,0,Mexico,home_win,1,3,0,Guadalajara Stadium,Estadio Akron,Guadalajara,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",Mexico 1-0 Korea Republic,1,False
WC2026-029,2026-06-19,Group Stage,2,D,USA,United States,AUS,Australia,2,0,United States,home_win,2,3,0,Seattle Stadium,Lumen Field,Seattle,United States,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,"Verified through United States vs Australia, completed 2026-06-19; later matches still in progress or not yet verified",United States 2-0 Australia,2,False
